"Transaction.ID","Date.of.Purchase","Time.of.Purchase","Purchase.Type","Payment.Method","Railcard","Ticket.Class","Ticket.Type","Price","Departure.Station","Arrival.Destination","Date.of.Journey","Departure.Time","Arrival.Time","Actual.Arrival.Time","Journey.Status","Reason.for.Delay","Refund.Request","Day.of.Week"
"b0cdd1b0-f214-4197-be53",2023-12-16,2025-06-05 11:23:01,"Station","Credit Card","Adult","Standard","Advance",23,"London Kings Cross","York",2024-01-01,2025-06-05 09:45:00,2025-06-05 11:35:00,2025-06-05 11:40:00,"Delayed","Signal Failure","No","Monday"
"01df916f-4291-41ec-a37d",2023-12-31,2025-06-05 01:43:09,"Station","Credit Card","None","Standard","Advance",37,"London Euston","York",2024-01-01,2025-06-05,2025-06-05 01:50:00,2025-06-05 02:07:00,"Delayed","Signal Failure","No","Monday"
"8dfbf0fc-aea0-424f-b30e",2023-12-31,2025-06-05 11:57:15,"Station","Debit Card","Adult","Standard","Advance",7,"Birmingham New Street","Manchester Piccadilly",2024-01-01,2025-06-05 11:15:00,2025-06-05 12:35:00,2025-06-05 13:06:00,"Delayed","Technical Issue","Yes","Monday"
"74462231-5241-46f4-8328",2023-12-31,2025-06-05 15:53:46,"Online","Credit Card","Senior","First Class","Advance",34,"Oxford","Bristol Temple Meads",2024-01-01,2025-06-05 14:15:00,2025-06-05 15:30:00,2025-06-05 15:54:00,"Delayed","Signal Failure","Yes","Monday"
"767314a0-f839-4607-a3d3",2024-01-01,2025-06-05 05:09:30,"Station","Credit Card","None","First Class","Advance",134,"Manchester Piccadilly","London Euston",2024-01-02,2025-06-05 03:30:00,2025-06-05 05:20:00,2025-06-05 05:31:00,"Delayed","Weather Conditions","No","Tuesday"
"382d60f9-9fe0-4920-97e4",2024-01-01,2025-06-05 06:34:08,"Station","Credit Card","None","Standard","Anytime",151,"Liverpool Lime Street","London Euston",2024-01-01,2025-06-05 08:00:00,2025-06-05 10:15:00,2025-06-05 10:39:00,"Delayed","Weather","No","Monday"
"711c08ba-eb61-44ba-821a",2024-01-01,2025-06-05 09:30:09,"Station","Credit Card","None","First Class","Advance",134,"Manchester Piccadilly","London Euston",2024-01-02,2025-06-05 08:00:00,2025-06-05 09:50:00,2025-06-05 10:08:00,"Delayed","Weather","No","Tuesday"
"c57dd321-4e2f-46c0-8cfb",2024-01-02,2025-06-05 02:13:53,"Station","Credit Card","None","First Class","Off-Peak",200,"Manchester Piccadilly","London Euston",2024-01-02,2025-06-05 03:30:00,2025-06-05 05:20:00,2025-06-05 05:31:00,"Delayed","Weather Conditions","No","Tuesday"
"e5e8c888-b22e-4bf5-aaf6",2024-01-02,2025-06-05 04:47:49,"Online","Contactless","Adult","Standard","Anytime",47,"London Kings Cross","York",2024-01-02,2025-06-05 06:15:00,2025-06-05 08:05:00,2025-06-05 08:35:00,"Delayed","Technical Issue","No","Tuesday"
"dc236178-ccb3-4aa1-9cea",2024-01-02,2025-06-05 04:58:57,"Online","Debit Card","None","Standard","Anytime",70,"London Kings Cross","York",2024-01-02,2025-06-05 06:15:00,2025-06-05 08:05:00,2025-06-05 08:35:00,"Delayed","Technical Issue","No","Tuesday"
"a6ab593b-474f-41a5-bab9",2024-01-02,2025-06-05 05:07:05,"Station","Credit Card","None","Standard","Advance",84,"Manchester Piccadilly","London Euston",2024-01-03,2025-06-05 03:30:00,2025-06-05 05:20:00,2025-06-05 05:38:00,"Delayed","Weather Conditions","No","Wednesday"
"abbbe382-faca-4289-b9b7",2024-01-02,2025-06-05 07:32:42,"Station","Contactless","Adult","Standard","Off-Peak",12,"Manchester Piccadilly","Nottingham",2024-01-02,2025-06-05 09:00:00,2025-06-05 10:00:00,2025-06-05 10:59:00,"Delayed","Signal Failure","No","Tuesday"
"32cabb23-6a69-44e5-a418",2024-01-02,2025-06-05 07:33:03,"Station","Contactless","Adult","Standard","Off-Peak",10,"Manchester Piccadilly","Leeds",2024-01-02,2025-06-05 09:00:00,2025-06-05 09:45:00,2025-06-05 12:39:00,"Delayed","Signal Failure","No","Tuesday"
"ba9e6ec7-6c30-402d-9793",2024-01-02,2025-06-05 09:31:53,"Station","Credit Card","None","Standard","Advance",76,"Liverpool Lime Street","London Euston",2024-01-03,2025-06-05 08:00:00,2025-06-05 10:15:00,2025-06-05 11:09:00,"Delayed","Weather","No","Wednesday"
